row ID,row m/z,row retention time,20180626-Cfe-DMSO-14point784-14point788.mzML Peak area,20180626-Cfe-DMSO-14point584-14point587.mzML Peak area,20180626-Cfe-DMSO-14point-494-14point504.mzML Peak area,
1,203.1795965246095,16.649716666666666,7.925316014874975E7,0,0,
2,206.08146363427596,8.677266666666666,4.989539792418741E7,0,0,
3,206.08143449846074,13.924133333333334,4.818428524237508E7,7.33659255341249E7,0,
4,207.09917461451136,6.923116666666667,2.0640361324437503E7,1.1888644527625013E7,0,
5,211.094023073554,5.1788,4.6932516002562515E7,0,0,
6,211.09405667429408,6.932527777777778,1.3632608539375007E8,1.7618071269268748E8,1.6640537050950015E8,
7,211.09423585428567,7.93445,1.4503474938312484E7,0,2.5054247510999948E7,
8,211.0870074166007,22.868333333333332,1.7657101360375005E8,0,0,
9,211.0870035432573,22.989833333333333,4.586885680499846E7,0,0,
10,211.14425810078268,7.06755,4.945906607093755E7,0,0,
11,211.14432116395656,7.389433333333333,1.3225120551112509E8,0,0,
12,211.1442290506841,7.9508833333333335,2.2146994708899975E8,1.1816948382743748E8,1.3402119910450004E8,
14,217.10725929686828,9.91167222222222,3.6678655219187595E7,5.8782502707562506E7,7.070966062968758E7,
15,235.14421455442917,8.904355555555556,9.224947872099946E7,8.537538555512464E7,8.784018081943756E7,
17,239.12522335392833,7.994383333333333,3.147299074406247E7,0,0,
18,243.08782206332154,9.86345,2.3994718210612616E8,1.735556355581249E8,0,
20,245.1285688496909,7.949375,1.1192051123062527E8,5.7987937643500045E7,0,
21,245.12858742815732,8.595783333333332,7.909161596256275E7,6.030460049375005E7,1.2274439305224963E8,
22,251.1853845584205,7.753583333333333,2.4963485235875055E7,0,0,
23,255.12020812303848,6.969333333333333,3.544506183343756E7,0,4.172385747225003E7,
24,269.1358903062524,8.421472222222222,3.1207635118687283E7,6.652002086431243E7,5.695568679312514E7,
25,276.14435120945967,16.36831666666667,3.2653540444937505E7,0,0,
26,277.1913914750818,11.630866666666666,2.768413155003754E8,0,0,
28,287.14631634751174,6.969333333333333,4.017194774825006E7,0,2.617930024281252E7,
29,289.2165846847954,22.989833333333333,1.851998393437494E7,0,0,
30,297.1285175739127,5.138716666666666,3.832636457156254E7,0,0,
32,309.0870961851359,14.004341666666665,3.1986126988124985E7,3.6880602079687424E7,0,
34,317.21133926421004,22.305999999999997,2.3588045601749915E8,0,0,
35,317.21120112578893,22.989833333333333,2.0259509409374945E7,0,0,
36,325.1184421724316,12.558816666666667,3.085897266988129E8,1.1366521896500029E8,0,
38,326.19637339351993,15.267624999999999,6.431283817337514E7,6.277522405762505E7,0,
39,328.0192697458223,9.844688888888887,5.184981118606246E7,5.610009254349988E7,4.601526149112488E7,
40,330.01612160342376,9.844688888888887,6.374493691443756E7,5.531501355649989E7,4.435201888262489E7,
41,331.17260642981734,8.4081,1.795283700728118E7,4.403716035549996E7,4.2561084091062635E7,
42,335.2223356138351,22.305999999999997,1.4949923158375013E8,0,0,
44,339.13417415419394,13.944175000000001,3.3075279901937455E8,1.7851547910962492E8,0,
47,356.24469093169864,8.355766666666666,4.062064491700002E7,0,0,
48,372.23987386729993,6.8627666666666665,7.040987027725014E7,6.04840736047501E7,0,
49,374.25545626424946,8.315566666666667,9.185090381681234E7,0,0,
50,374.2553746763786,8.87735,4.636536118474996E7,1.3270278853556257E8,1.8199987773037514E8,
51,390.25062088143443,4.8151166666666665,2.1081220002125032E7,0,0,
54,407.92663487980417,12.819841666666665,1.1923047780200009E8,1.338171715941876E8,0,
55,409.9245730294775,12.819841666666665,6.115662689912503E7,5.9609765677750036E7,0,
56,413.1094622751448,14.68635,4.239051841931249E7,5.6014725345187515E7,0,
57,413.1097287140452,15.762791666666667,3.0298790898875035E7,0,3.4754101837656245E7,
58,422.2918110948426,14.545925,7.771301621362527E7,7.656735081362511E7,0,
59,488.28741076028547,14.763233333333334,4.610817895362521E7,5.679199984093755E7,3.229222304862487E7,
61,529.259166806302,4.734533333333333,2.0800296926374983E7,0,0,
62,555.9912874099018,15.32525,3.1685414542812504E7,0,0,
63,559.2700633739507,4.734533333333333,2.077520480587498E7,0,0,
66,727.4400870414843,22.0775,5.7459504384999804E7,4.687939292062478E7,0,
